Store Name,Customer #,Billing Document #,Billing Document Date,PO #,Season Description,Billing Document Type,Billing Document Status,Total,Delivery #
BANNER'S  HALLMARK SHOP 61,1000055874,5062835075,12/20/2025,,VALENTINE,Invoice,OPEN,"$1,266.87",4013655029
BANNER'S  HALLMARK SHOP 61,1000055874,5062633071,12/19/2025,,VALENTINE,Invoice,OPEN,"$5,184.40",4013655030
BANNER'S  HALLMARK SHOP 61,1000055874,5062637733,12/19/2025,MIX MATCH,,Credit Memo,OPEN,$-233.87,
BANNER'S  HALLMARK SHOP 61,1000055874,5062538452,12/18/2025,12/2025 GC FEE,,Debit Memo,OPEN,$475.00,
BANNER'S  HALLMARK SHOP 61,1000055874,5062353245,12/16/2025,Hmk Ornament Surcharge,,Debit Memo,OPEN,"$2,218.75",
BANNER'S  HALLMARK SHOP 61,1000055874,5062359604,12/16/2025,Relabeling Credit,,Credit Memo,OPEN,$-530.49,
BANNER'S  HALLMARK SHOP 61,1000055874,5062226799,12/15/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-27.34,
BANNER'S  HALLMARK SHOP 61,1000055874,5062226803,12/15/2025,OMNI-SFS,,Credit Memo,OPEN,"$-2,179.13",
BANNER'S  HALLMARK SHOP 61,1000055874,5062226809,12/15/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-69.50,
BANNER'S  HALLMARK SHOP 61,1000055874,5062226817,12/15/2025,R001905227,,Credit Memo,OPEN,"$-1,233.01",
BANNER'S  HALLMARK SHOP 61,1000055874,5062299646,12/15/2025,,EVERYDAY,Invoice,OPEN,"$1,366.24",4013817151
BANNER'S  HALLMARK SHOP 61,1000055874,5061946712,12/11/2025,,HANUKKAH,Invoice,OPEN,$456.16,4013748669
BANNER'S  HALLMARK SHOP 61,1000055874,5061950897,12/11/2025,,CHRISTMAS,Invoice,OPEN,$516.50,4013807394
BANNER'S  HALLMARK SHOP 61,1000055874,5061950900,12/11/2025,,CHRISTMAS,Invoice,OPEN,$725.00,4013807395
BANNER'S  HALLMARK SHOP 61,1000055874,5061950901,12/11/2025,,CHRISTMAS,Invoice,OPEN,"$1,561.05",4013807396
BANNER'S  HALLMARK SHOP 61,1000055874,5061950903,12/11/2025,,VALENTINE,Invoice,OPEN,$120.00,4013808222
BANNER'S  HALLMARK SHOP 61,1000055874,5061875686,12/10/2025,,EVERYDAY,Invoice,OPEN,"$5,686.72",4013646187
BANNER'S  HALLMARK SHOP 61,1000055874,5061875688,12/10/2025,,EVERYDAY,Invoice,OPEN,"$1,362.50",4013646187
BANNER'S  HALLMARK SHOP 61,1000055874,5061875689,12/10/2025,,EVERYDAY,Invoice,OPEN,$37.50,4013646187
BANNER'S  HALLMARK SHOP 61,1000055874,5062047685,12/09/2025,Smartlync Extension,,Debit Memo,OPEN,$385.13,
BANNER'S  HALLMARK SHOP 61,1000055874,5061670585,12/08/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-148.20,
BANNER'S  HALLMARK SHOP 61,1000055874,5061670592,12/08/2025,R001904111,,Credit Memo,OPEN,"$-1,471.98",
BANNER'S  HALLMARK SHOP 61,1000055874,5061670600,12/08/2025,OMNI-SFS,,Credit Memo,PAID,"$-3,031.69",
BANNER'S  HALLMARK SHOP 61,1000055874,5061670604,12/08/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-264.22,
BANNER'S  HALLMARK SHOP 61,1000055874,5061458710,12/04/2025,,CHRISTMAS,Invoice,OPEN,$94.60,4013707326
BANNER'S  HALLMARK SHOP 61,1000055874,5061297562,12/02/2025,RTLR CUSTOMIZED MKTG,,Debit Memo,OPEN,$62.82,
BANNER'S  HALLMARK SHOP 61,1000055874,5061185910,12/01/2025,OMNI-SFS,,Credit Memo,PAID,"$-3,006.92",
BANNER'S  HALLMARK SHOP 61,1000055874,5061185916,12/01/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-450.75,
BANNER'S  HALLMARK SHOP 61,1000055874,5061185924,12/01/2025,R001902991,,Credit Memo,OPEN,"$-1,045.16",
BANNER'S  HALLMARK SHOP 61,1000055874,5061185930,12/01/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-11.25,
BANNER'S  HALLMARK SHOP 61,1000055874,5061242129,12/01/2025,,NEW YEAR'S DAY,Invoice,OPEN,"$10,105.84",4013646186
BANNER'S  HALLMARK SHOP 61,1000055874,5061242130,12/01/2025,,WINTER GRAD,Invoice,OPEN,$65.90,4013646186
