Store Name,Customer #,Billing Document #,Billing Document Date,PO #,Season Description,Billing Document Type,Billing Document Status,Total,Delivery #
BANNER'S  HALLMARK SHOP 61,1000055874,5060752182,11/24/2025,OMNI-SFS,,Credit Memo,OPEN,"$-1,816.19",
BANNER'S  HALLMARK SHOP 61,1000055874,5060752187,11/24/2025,R001901878,,Credit Memo,OPEN,$-929.21,
BANNER'S  HALLMARK SHOP 61,1000055874,5060752194,11/24/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-65.25,
BANNER'S  HALLMARK SHOP 61,1000055874,5060752199,11/24/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-321.53,
BANNER'S  HALLMARK SHOP 61,1000055874,5060619514,11/21/2025,MIX MATCH,,Credit Memo,OPEN,$-999.20,
BANNER'S  HALLMARK SHOP 61,1000055874,5060548285,11/20/2025,11/2025 GC FEE,,Debit Memo,OPEN,$475.00,
BANNER'S  HALLMARK SHOP 61,1000055874,5060235438,11/17/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-33.75,
BANNER'S  HALLMARK SHOP 61,1000055874,5060235445,11/17/2025,R001900761,,Credit Memo,OPEN,$-799.97,
BANNER'S  HALLMARK SHOP 61,1000055874,5060235451,11/17/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-89.52,
BANNER'S  HALLMARK SHOP 61,1000055874,5060235457,11/17/2025,OMNI-SFS,,Credit Memo,OPEN,"$-2,801.46",
BANNER'S  HALLMARK SHOP 61,1000055874,5060299181,11/17/2025,RTLR CUSTOMIZED MKTG,,Debit Memo,OPEN,"$2,111.51",
BANNER'S  HALLMARK SHOP 61,1000055874,5060055192,11/13/2025,*KOCC,,Debit Memo,OPEN,$199.96,
BANNER'S  HALLMARK SHOP 61,1000055874,5059804128,11/10/2025,OMNI-SFS,,Credit Memo,OPEN,"$-1,675.40",
BANNER'S  HALLMARK SHOP 61,1000055874,5059804134,11/10/2025,R001899637,,Credit Memo,OPEN,$-728.62,
BANNER'S  HALLMARK SHOP 61,1000055874,5059804140,11/10/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-117.78,
BANNER'S  HALLMARK SHOP 61,1000055874,5059804142,11/10/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-101.25,
