Store Name,Customer #,Billing Document #,Billing Document Date,PO #,Season Description,Billing Document Type,Billing Document Status,Total,Delivery #
BANNER'S  HALLMARK SHOP 61,1000055874,1000055874202510-5055477487,09/04/2025,,,SBT-Invoice,OPEN,$2.50,
BANNER'S  HALLMARK SHOP 61,1000055874,1000055874202509-5055261483,09/01/2025,,,SBT-Invoice,OPEN,$1.50,
BANNER'S  HALLMARK SHOP 61,1000055874,5055179193,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-21.73,
BANNER'S  HALLMARK SHOP 61,1000055874,5055179198,09/01/2025,R001888572,,Credit Memo,OPEN,$-199.00,
BANNER'S HALLMARK SHOP 1403,1000004735,5055279925,09/02/2025,damage defective,,Credit Memo,OPEN,$-12.75,
BANNER'S HALLMARK SHOP 1403,1000004735,5055177482,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-45.73,
BANNER'S HALLMARK SHOP 1403,1000004735,5055177485,09/01/2025,R001888247,,Credit Memo,OPEN,$-157.04,
BANNER'S HALLMARK SHOP 15,1000041880,5055178752,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-59.18,
BANNER'S HALLMARK SHOP 15,1000041880,5055178758,09/01/2025,R001889113,,Credit Memo,OPEN,$-150.12,
BANNER'S HALLMARK SHOP 1620,1000030843,1000030843202510-5055357414,09/02/2025,,,SBT-Invoice,OPEN,$3.80,
BANNER'S HALLMARK SHOP 1620,1000030843,1000030843202509-5055263455,09/01/2025,,,SBT-Invoice,OPEN,$1.50,
BANNER'S HALLMARK SHOP 1620,1000030843,5055178483,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-762.88,
BANNER'S HALLMARK SHOP 1620,1000030843,5055178489,09/01/2025,R001888476,,Credit Memo,OPEN,$-407.79,
BANNER'S HALLMARK SHOP 1620,1000030843,5055178496,09/01/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-44.79,
BANNER'S HALLMARK SHOP 1818,1000114306,5055282083,09/02/2025,damage defect,,Credit Memo,OPEN,$-36.19,
BANNER'S HALLMARK SHOP 1818,1000114306,5055179443,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-45.43,
BANNER'S HALLMARK SHOP 1818,1000114306,5055179446,09/01/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-12.78,
BANNER'S HALLMARK SHOP 1818,1000114306,5055179449,09/01/2025,R001888859,,Credit Memo,OPEN,$-348.29,
BANNER'S HALLMARK SHOP 1822,1000115859,5055179122,09/01/2025,R001888883,,Credit Memo,OPEN,$-127.82,
BANNER'S HALLMARK SHOP 1822,1000115859,5055179127,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-20.97,
BANNER'S HALLMARK SHOP 1825,1000115805,1000115805202509-5055266081,09/01/2025,,,SBT-Invoice,OPEN,$1.50,
BANNER'S HALLMARK SHOP 1825,1000115805,5055179095,09/01/2025,R001888878,,Credit Memo,OPEN,$-176.13,
BANNER'S HALLMARK SHOP 1825,1000115805,5055179102,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-7.48,
BANNER'S HALLMARK SHOP 1828,1000116758,1000116758202510-5055394103,09/03/2025,,,SBT-Invoice,OPEN,$1.50,
BANNER'S HALLMARK SHOP 1828,1000116758,5055179566,09/01/2025,R001888926,,Credit Memo,OPEN,$-90.78,
BANNER'S HALLMARK SHOP 1828,1000116758,5055179570,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-137.71,
BANNER'S HALLMARK SHOP 1938,1000116745,5055179301,09/01/2025,R001888925,,Credit Memo,OPEN,$-155.55,
BANNER'S HALLMARK SHOP 1938,1000116745,5055179306,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-131.18,
BANNER'S HALLMARK SHOP 1948,1000118750,1000118750202510-5055578851,09/06/2025,,,SBT-Invoice,OPEN,$1.80,
BANNER'S HALLMARK SHOP 1948,1000118750,5055179530,09/01/2025,R001888825,,Credit Memo,OPEN,$-139.89,
BANNER'S HALLMARK SHOP 1948,1000118750,5055179534,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-62.96,
BANNER'S HALLMARK SHOP 1948,1000118750,5055179535,09/01/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-9.19,
BANNER'S HALLMARK SHOP 22,1000055291,1000055291202510-5055534065,09/05/2025,,,SBT-Invoice,OPEN,$1.50,
BANNER'S HALLMARK SHOP 22,1000055291,1000055291202510-5055347741,09/02/2025,,,SBT-Invoice,OPEN,$1.50,
BANNER'S HALLMARK SHOP 22,1000055291,5055178889,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-431.51,
BANNER'S HALLMARK SHOP 22,1000055291,5055178891,09/01/2025,R001889025,,Credit Memo,OPEN,$-111.87,
BANNER'S HALLMARK SHOP 22,1000055291,5055178896,09/01/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-11.25,
BANNER'S HALLMARK SHOP 29,1000002154,1000002154202510-5055546837,09/05/2025,,,SBT-Invoice,OPEN,$1.30,
BANNER'S HALLMARK SHOP 29,1000002154,1000002154202510-5055482125,09/04/2025,,,SBT-Invoice,OPEN,$6.30,
BANNER'S HALLMARK SHOP 29,1000002154,5055279929,09/02/2025,damage defective,,Credit Memo,OPEN,$-159.08,
BANNER'S HALLMARK SHOP 29,1000002154,1000002154202509-5055274329,09/01/2025,,,SBT-Invoice,OPEN,$4.00,
BANNER'S HALLMARK SHOP 29,1000002154,5055177205,09/01/2025,R001888250,,Credit Memo,OPEN,$-273.56,
BANNER'S HALLMARK SHOP 29,1000002154,5055177209,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-107.56,
BANNER'S HALLMARK SHOP 32,1000011835,1000011835202510-5055550625,09/05/2025,,,SBT-Invoice,OPEN,$2.25,
BANNER'S HALLMARK SHOP 32,1000011835,1000011835202510-5055485043,09/04/2025,,,SBT-Invoice,OPEN,$2.00,
BANNER'S HALLMARK SHOP 32,1000011835,1000011835202509-5055276068,09/01/2025,,,SBT-Invoice,OPEN,$2.30,
BANNER'S HALLMARK SHOP 32,1000011835,5055177651,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-144.29,
BANNER'S HALLMARK SHOP 32,1000011835,5055177659,09/01/2025,R001888553,,Credit Memo,OPEN,$-362.56,
BANNER'S HALLMARK SHOP 32,1000011835,5055177665,09/01/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-30.00,
BANNER'S HALLMARK SHOP 33,1000000626,5055179604,09/01/2025,R001888269,,Credit Memo,OPEN,$-347.13,
BANNER'S HALLMARK SHOP 36,1000012828,5055177742,09/01/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-33.75,
BANNER'S HALLMARK SHOP 36,1000012828,5055177746,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-30.35,
BANNER'S HALLMARK SHOP 36,1000012828,5055177752,09/01/2025,R001888599,,Credit Memo,OPEN,$-277.51,
BANNER'S HALLMARK SHOP 38,1000006859,1000006859202510-5055364296,09/02/2025,,,SBT-Invoice,OPEN,$1.25,
BANNER'S HALLMARK SHOP 38,1000006859,5055177488,09/01/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-7.99,
BANNER'S HALLMARK SHOP 38,1000006859,5055177493,09/01/2025,R001888362,,Credit Memo,OPEN,$-286.43,
BANNER'S HALLMARK SHOP 40,1000002240,5055494567,09/05/2025,damaged defective,,Credit Memo,OPEN,$-33.75,
BANNER'S HALLMARK SHOP 40,1000002240,5055177241,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-97.46,
BANNER'S HALLMARK SHOP 40,1000002240,5055177246,09/01/2025,R001888846,,Credit Memo,OPEN,$-199.73,
BANNER'S HALLMARK SHOP 40,1000002240,5055177249,09/01/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-37.49,
BANNER'S HALLMARK SHOP 45,1000110655,5055179417,09/01/2025,R001888833,,Credit Memo,OPEN,$-337.46,
BANNER'S HALLMARK SHOP 45,1000110655,5055179419,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-21.24,
BANNER'S HALLMARK SHOP 46,1000019277,5055178304,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-345.23,
BANNER'S HALLMARK SHOP 46,1000019277,5055178308,09/01/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-10.53,
BANNER'S HALLMARK SHOP 46,1000019277,5055178314,09/01/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-26.25,
BANNER'S HALLMARK SHOP 46,1000019277,5055178319,09/01/2025,R001889104,,Credit Memo,OPEN,$-330.77,
BANNER'S HALLMARK SHOP 47,1000019864,1000019864202510-5055485974,09/04/2025,,,SBT-Invoice,OPEN,$4.05,
BANNER'S HALLMARK SHOP 47,1000019864,1000019864202510-5055363512,09/02/2025,,,SBT-Invoice,OPEN,$2.00,
BANNER'S HALLMARK SHOP 47,1000019864,1000019864202509-5055270636,09/01/2025,,,SBT-Invoice,OPEN,$3.50,
BANNER'S HALLMARK SHOP 47,1000019864,5055178468,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-134.89,
BANNER'S HALLMARK SHOP 47,1000019864,5055178474,09/01/2025,R001889129,,Credit Memo,OPEN,$-385.16,
BANNER'S HALLMARK SHOP 48,1000008399,1000008399202510-5055482579,09/04/2025,,,SBT-Invoice,OPEN,$3.00,
BANNER'S HALLMARK SHOP 48,1000008399,1000008399202509-5055274913,09/01/2025,,,SBT-Invoice,OPEN,$4.30,
BANNER'S HALLMARK SHOP 48,1000008399,5055177565,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-20.99,
BANNER'S HALLMARK SHOP 48,1000008399,5055177571,09/01/2025,R001888432,,Credit Memo,OPEN,$-472.35,
BANNER'S HALLMARK SHOP 49,1000054183,5055179024,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-80.23,
BANNER'S HALLMARK SHOP 49,1000054183,5055179027,09/01/2025,R001889227,,Credit Memo,OPEN,$-332.46,
BANNER'S HALLMARK SHOP 50,1000003575,5055177417,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-35.23,
BANNER'S HALLMARK SHOP 50,1000003575,5055177424,09/01/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-6.75,
BANNER'S HALLMARK SHOP 50,1000003575,5055177430,09/01/2025,R001888185,,Credit Memo,OPEN,$-328.73,
BANNER'S HALLMARK SHOP 51,1000055311,1000055311202510-5055594829,09/06/2025,,,SBT-Invoice,OPEN,$2.50,
BANNER'S HALLMARK SHOP 51,1000055311,1000055311202510-5055469535,09/04/2025,,,SBT-Invoice,OPEN,$2.00,
BANNER'S HALLMARK SHOP 51,1000055311,5055178775,09/01/2025,R001888380,,Credit Memo,OPEN,$-358.93,
BANNER'S HALLMARK SHOP 52,1000009732,1000009732202510-5055606485,09/06/2025,,,SBT-Invoice,OPEN,$2.30,
BANNER'S HALLMARK SHOP 52,1000009732,1000009732202510-5055543093,09/05/2025,,,SBT-Invoice,OPEN,$3.00,
BANNER'S HALLMARK SHOP 52,1000009732,1000009732202510-5055414972,09/03/2025,,,SBT-Invoice,OPEN,$4.30,
BANNER'S HALLMARK SHOP 52,1000009732,5055177582,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-53.22,
BANNER'S HALLMARK SHOP 52,1000009732,5055177589,09/01/2025,R001888458,,Credit Memo,OPEN,$-272.22,
BANNER'S HALLMARK SHOP 53,1000054184,1000054184202510-5055400641,09/03/2025,,,SBT-Invoice,OPEN,$2.80,
BANNER'S HALLMARK SHOP 53,1000054184,5055178820,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-278.55,
BANNER'S HALLMARK SHOP 53,1000054184,5055178825,09/01/2025,R001889174,,Credit Memo,OPEN,$-325.47,
BANNER'S HALLMARK SHOP 54,1000010181,5055177693,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,"$-1,148.10",
BANNER'S HALLMARK SHOP 54,1000010181,5055177699,09/01/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-106.50,
BANNER'S HALLMARK SHOP 54,1000010181,5055177707,09/01/2025,R001888471,,Credit Memo,OPEN,$-249.17,
BANNER'S HALLMARK SHOP 56,1000002149,5055177253,09/01/2025,OMNI-RESHIP,,Credit Memo,OPEN,$-18.75,
BANNER'S HALLMARK SHOP 56,1000002149,5055177257,09/01/2025,R001888233,,Credit Memo,OPEN,$-87.45,
BANNER'S HALLMARK SHOP 56,1000002149,5055177262,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-86.94,
BANNER'S HALLMARK SHOP 57,1000112560,1000112560202510-5055516228,09/05/2025,,,SBT-Invoice,OPEN,$2.50,
BANNER'S HALLMARK SHOP 57,1000112560,5055179139,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-73.47,
BANNER'S HALLMARK SHOP 57,1000112560,5055179154,09/01/2025,R001888838,,Credit Memo,OPEN,$-210.57,
BANNER'S HALLMARK SHOP 57,1000112560,5055179161,09/01/2025,OMNI-BOPIS,,Credit Memo,OPEN,$-7.97,
BANNER'S HALLMARK SHOP 60,1000009191,5055177579,09/01/2025,OMNI-SFS,,Credit Memo,OPEN,$-87.07,
BANNER'S HALLMARK SHOP 60,1000009191,5055177584,09/01/2025,R001888463,,Credit Memo,OPEN,$-289.56,
